Year,Award,Player/Coach,Team
2034,Front Office Bowl MVP,9847,11
2034,Offensive Player of the Year,14045,12
2034,Defensive Player of the Year,13667,10
2034,Offensive Rookie of the Year,14045,12
2034,Defensive Rookie of the Year,14637,30
2034,All-League First Team Quarterback,9020,14
2034,All-League First Team Running Back,14045,12
2034,All-League First Team Fullback,9951,15
2034,All-League First Team Tight End,11666,26
2034,All-League First Team Wide Receiver,8457,26
2034,All-League First Team Wide Receiver,12574,29
2034,All-League First Team Center,8522,12
2034,All-League First Team Offensive Guard,11817,9
2034,All-League First Team Offensive Guard,6884,3
2034,All-League First Team Offensive Tackle,11882,7
2034,All-League First Team Offensive Tackle,8583,11
2034,All-League First Team Punter,5322,6
2034,All-League First Team Kicker,5349,26
2034,All-League First Team Defensive End,13667,10
2034,All-League First Team Defensive End,13658,14
2034,All-League First Team Defensive Tackle,11225,27
2034,All-League First Team Defensive Tackle,12024,23
2034,All-League First Team Inside Linebacker,11296,16
2034,All-League First Team Outside Linebacker,8067,11
2034,All-League First Team Outside Linebacker,9635,29
2034,All-League First Team Cornerback,8150,3
2034,All-League First Team Cornerback,8098,10
2034,All-League First Team Safety,8171,15
2034,All-League First Team Safety,13144,2
2034,All-League Second Team Quarterback,7380,28
2034,All-League Second Team Running Back,9935,10
2034,All-League Second Team Fullback,11628,7
2034,All-League Second Team Tight End,11674,19
2034,All-League Second Team Wide Receiver,11732,12
2034,All-League Second Team Wide Receiver,10884,31
2034,All-League Second Team Center,11797,20
2034,All-League Second Team Offensive Guard,9339,5
2034,All-League Second Team Offensive Guard,11831,4
2034,All-League Second Team Offensive Tackle,11896,23
2034,All-League Second Team Offensive Tackle,11092,26
2034,All-League Second Team Punter,3680,4
2034,All-League Second Team Kicker,9475,7
2034,All-League Second Team Defensive End,10492,30
2034,All-League Second Team Defensive End,8694,16
2034,All-League Second Team Defensive Tackle,10373,7
2034,All-League Second Team Defensive Tackle,14560,8
2034,All-League Second Team Inside Linebacker,8005,6
2034,All-League Second Team Outside Linebacker,8890,9
2034,All-League Second Team Outside Linebacker,11330,21
2034,All-League Second Team Cornerback,13867,5
2034,All-League Second Team Cornerback,9757,8
2034,All-League Second Team Safety,9791,16
2034,All-League Second Team Safety,13133,27
2034,League's Fastest Man,14231,25
2034,League's Strongest Man,8569,0
2033,Legend of the Game,1010,3
2033,Coach of the Year,219,15
2033,Player of the Year,8267,26
2033,Front Office Bowl MVP,6553,17
2033,Offensive Player of the Year,8267,26
2033,Defensive Player of the Year,11146,4
2033,Offensive Rookie of the Year,13282,0
2033,Defensive Rookie of the Year,13845,14
2033,All-League First Team Quarterback,8267,26
2033,All-League First Team Running Back,11585,27
2033,All-League First Team Fullback,7526,24
2033,All-League First Team Tight End,8405,14
2033,All-League First Team Wide Receiver,10930,13
2033,All-League First Team Wide Receiver,11761,15
2033,All-League First Team Center,7678,31
2033,All-League First Team Offensive Guard,11817,9
2033,All-League First Team Offensive Guard,6884,3
2033,All-League First Team Offensive Tackle,10210,24
2033,All-League First Team Offensive Tackle,9423,29
2033,All-League First Team Punter,5322,6
2033,All-League First Team Kicker,3713,14
2033,All-League First Team Defensive End,11146,4
2033,All-League First Team Defensive End,8694,16
2033,All-League First Team Defensive Tackle,7136,17
2033,All-League First Team Defensive Tackle,10417,7
2033,All-League First Team Inside Linebacker,12935,14
2033,All-League First Team Outside Linebacker,12141,31
2033,All-League First Team Outside Linebacker,11308,20
2033,All-League First Team Cornerback,11416,1
2033,All-League First Team Cornerback,13106,7
2033,All-League First Team Safety,8159,5
2033,All-League First Team Safety,8171,15
2033,All-League Second Team Quarterback,7380,28
2033,All-League Second Team Running Back,10719,22
2033,All-League Second Team Fullback,9142,12
2033,All-League Second Team Tight End,10847,26
2033,All-League Second Team Wide Receiver,5111,18
2033,All-League Second Team Wide Receiver,7619,19
2033,All-League Second Team Center,6006,21
2033,All-League Second Team Offensive Guard,10155,1
2033,All-League Second Team Offensive Guard,6033,16
2033,All-League Second Team Offensive Tackle,10228,22
2033,All-League Second Team Offensive Tackle,6930,9
2033,All-League Second Team Punter,10277,0
2033,All-League Second Team Kicker,5350,6
2033,All-League Second Team Defensive End,11985,0
2033,All-League Second Team Defensive End,8724,9
2033,All-League Second Team Defensive Tackle,7961,15
2033,All-League Second Team Defensive Tackle,11198,24
2033,All-League Second Team Inside Linebacker,7183,0
2033,All-League Second Team Outside Linebacker,9635,29
2033,All-League Second Team Outside Linebacker,11305,5
2033,All-League Second Team Cornerback,12223,26
2033,All-League Second Team Cornerback,5625,28
2033,All-League Second Team Safety,13133,27
2033,All-League Second Team Safety,8975,17
2033,League's Fastest Man,10053,20
2033,League's Strongest Man,11092,26
2032,Legend of the Game,905,13
2032,Coach of the Year,320,13
2032,Player of the Year,1143,2
2032,Front Office Bowl MVP,905,13
2032,Offensive Player of the Year,8242,20
2032,Defensive Player of the Year,11146,4
2032,Offensive Rookie of the Year,12381,6
2032,Defensive Rookie of the Year,12935,14
2032,All-League First Team Quarterback,8242,20
2032,All-League First Team Running Back,9094,13
2032,All-League First Team Fullback,10806,0
2032,All-League First Team Tight End,10852,18
2032,All-League First Team Wide Receiver,11753,30
2032,All-League First Team Wide Receiver,10930,13
2032,All-League First Team Center,5979,13
2032,All-League First Team Offensive Guard,9380,6
2032,All-League First Team Offensive Guard,11817,9
2032,All-League First Team Offensive Tackle,11092,26
2032,All-League First Team Offensive Tackle,7794,0
2032,All-League First Team Punter,3680,4
2032,All-League First Team Kicker,7022,13
2032,All-League First Team Defensive End,11146,4
2032,All-League First Team Defensive End,7029,23
2032,All-League First Team Defensive Tackle,11198,24
2032,All-League First Team Defensive Tackle,7136,17
2032,All-League First Team Inside Linebacker,10429,27
2032,All-League First Team Outside Linebacker,8823,1
2032,All-League First Team Outside Linebacker,12141,31
2032,All-League First Team Cornerback,8927,25
2032,All-League First Team Cornerback,10577,15
2032,All-League First Team Safety,8171,15
2032,All-League First Team Safety,8975,17
2032,All-League Second Team Quarterback,1143,2
2032,All-League Second Team Running Back,8299,3
2032,All-League Second Team Fullback,7520,27
2032,All-League Second Team Tight End,12488,0
2032,All-League Second Team Wide Receiver,10082,9
2032,All-League Second Team Wide Receiver,11763,0
2032,All-League Second Team Center,10945,11
2032,All-League Second Team Offensive Guard,6066,27
2032,All-League Second Team Offensive Guard,3589,18
2032,All-League Second Team Offensive Tackle,10210,24
2032,All-League Second Team Offensive Tackle,6949,21
2032,All-League Second Team Punter,10273,17
2032,All-League Second Team Kicker,7851,24
2032,All-League Second Team Defensive End,9517,6
2032,All-League Second Team Defensive End,12058,8
2032,All-League Second Team Defensive Tackle,7954,22
2032,All-League Second Team Defensive Tackle,7140,26
2032,All-League Second Team Inside Linebacker,12086,12
2032,All-League Second Team Outside Linebacker,10508,0
2032,All-League Second Team Outside Linebacker,10499,7
2032,All-League Second Team Cornerback,11402,19
2032,All-League Second Team Cornerback,10556,23
2032,All-League Second Team Safety,8159,5
2032,All-League Second Team Safety,8164,18
2032,League's Fastest Man,11697,24
2032,League's Strongest Man,8630,17
2031,Legend of the Game,986,31
2031,Coach of the Year,219,15
2031,Player of the Year,9094,14
2031,Front Office Bowl MVP,7380,28
2031,Offensive Player of the Year,9094,14
2031,Defensive Player of the Year,7029,23
2031,Offensive Rookie of the Year,11575,26
2031,Defensive Rookie of the Year,12141,31
2031,All-League First Team Quarterback,7380,28
2031,All-League First Team Running Back,9094,14
2031,All-League First Team Fullback,9953,1
2031,All-League First Team Tight End,9178,4
2031,All-League First Team Wide Receiver,8457,26
2031,All-League First Team Wide Receiver,10930,13
2031,All-League First Team Center,5979,14
2031,All-League First Team Offensive Guard,6884,3
2031,All-League First Team Offensive Guard,5200,14
2031,All-League First Team Offensive Tackle,7807,30
2031,All-League First Team Offensive Tackle,5271,9
2031,All-League First Team Punter,6992,23
2031,All-League First Team Kicker,7013,7
2031,All-League First Team Defensive End,7029,23
2031,All-League First Team Defensive End,8694,16
2031,All-League First Team Defensive Tackle,10401,28
2031,All-League First Team Defensive Tackle,2958,2
2031,All-League First Team Inside Linebacker,10429,27
2031,All-League First Team Outside Linebacker,8823,1
2031,All-League First Team Outside Linebacker,5557,13
2031,All-League First Team Cornerback,10556,23
2031,All-League First Team Cornerback,9724,4
2031,All-League First Team Safety,10645,20
2031,All-League First Team Safety,4052,6
2031,All-League Second Team Quarterback,5702,24
2031,All-League Second Team Running Back,8299,3
2031,All-League Second Team Fullback,5843,15
2031,All-League Second Team Tight End,10007,8
2031,All-League Second Team Wide Receiver,5111,18
2031,All-League Second Team Wide Receiver,10887,9
2031,All-League Second Team Center,4369,19
2031,All-League Second Team Offensive Guard,6033,16
2031,All-League Second Team Offensive Guard,6895,14
2031,All-League Second Team Offensive Tackle,10210,24
2031,All-League Second Team Offensive Tackle,6946,28
2031,All-League Second Team Punter,6989,2
2031,All-League Second Team Kicker,9475,2
2031,All-League Second Team Defensive End,11146,4
2031,All-League Second Team Defensive End,6209,17
2031,All-League Second Team Defensive Tackle,9563,15
2031,All-League Second Team Defensive Tackle,7136,17
2031,All-League Second Team Inside Linebacker,10433,15
2031,All-League Second Team Outside Linebacker,10503,2
2031,All-League Second Team Outside Linebacker,8067,11
2031,All-League Second Team Cornerback,8150,3
2031,All-League Second Team Cornerback,9734,24
2031,All-League Second Team Safety,8975,17
2031,All-League Second Team Safety,8159,5
2031,League's Fastest Man,8467,29
2031,League's Strongest Man,8630,12
2030,Legend of the Game,1558,20
2030,Coach of the Year,219,15
2030,Player of the Year,905,13
2030,Front Office Bowl MVP,9525,15
2030,Offensive Player of the Year,905,13
2030,Defensive Player of the Year,8718,30
2030,Offensive Rookie of the Year,10722,18
2030,Defensive Rookie of the Year,11416,1
2030,All-League First Team Quarterback,905,13
2030,All-League First Team Running Back,8299,3
2030,All-League First Team Fullback,4214,19
2030,All-League First Team Tight End,4216,1
2030,All-League First Team Wide Receiver,8467,29
2030,All-League First Team Wide Receiver,10930,13
2030,All-League First Team Center,4371,18
2030,All-League First Team Offensive Guard,6033,16
2030,All-League First Team Offensive Guard,8575,13
2030,All-League First Team Offensive Tackle,5271,9
2030,All-League First Team Offensive Tackle,3623,31
2030,All-League First Team Punter,1650,25
2030,All-League First Team Kicker,4538,16
2030,All-League First Team Defensive End,8718,30
2030,All-League First Team Defensive End,10410,18
2030,All-League First Team Defensive Tackle,7140,26
2030,All-League First Team Defensive Tackle,9575,18
2030,All-League First Team Inside Linebacker,3846,7
2030,All-League First Team Outside Linebacker,8823,1
2030,All-League First Team Outside Linebacker,9635,29
2030,All-League First Team Cornerback,11416,1
2030,All-League First Team Cornerback,10556,23
2030,All-League First Team Safety,4052,6
2030,All-League First Team Safety,5670,14
2030,All-League Second Team Quarterback,4103,16
2030,All-League Second Team Running Back,10722,18
2030,All-League Second Team Fullback,5014,16
2030,All-League Second Team Tight End,8392,22
2030,All-League Second Team Wide Receiver,1660,25
2030,All-League Second Team Wide Receiver,10892,16
2030,All-League Second Team Center,4369,19
2030,All-League Second Team Offensive Guard,7720,2
2030,All-League Second Team Offensive Guard,5200,14
2030,All-League Second Team Offensive Tackle,9410,18
2030,All-League Second Team Offensive Tackle,8591,10
2030,All-League Second Team Punter,8651,30
2030,All-League Second Team Kicker,794,29
2030,All-League Second Team Defensive End,8724,9
2030,All-League Second Team Defensive End,4551,0
2030,All-League Second Team Defensive Tackle,10417,7
2030,All-League Second Team Defensive Tackle,9565,1
2030,All-League Second Team Inside Linebacker,11258,24
2030,All-League Second Team Outside Linebacker,8890,9
2030,All-League Second Team Outside Linebacker,10492,30
2030,All-League Second Team Cornerback,9759,21
2030,All-League Second Team Cornerback,8927,25
2030,All-League Second Team Safety,8171,15
2030,All-League Second Team Safety,8975,17
2030,League's Fastest Man,6749,31
2030,League's Strongest Man,5259,8
2029,Legend of the Game,324,12
2029,Coach of the Year,225,11
2029,Player of the Year,713,20
2029,Front Office Bowl MVP,8267,19
2029,Offensive Player of the Year,713,20
2029,Defensive Player of the Year,8823,1
2029,Offensive Rookie of the Year,9919,21
2029,Defensive Rookie of the Year,10492,30
2029,All-League First Team Quarterback,713,20
2029,All-League First Team Running Back,8299,3
2029,All-League First Team Fullback,5016,21
2029,All-League First Team Tight End,4216,1
2029,All-League First Team Wide Receiver,5959,20
2029,All-League First Team Wide Receiver,5952,3
2029,All-League First Team Center,6006,3
2029,All-League First Team Offensive Guard,6884,3
2029,All-League First Team Offensive Guard,7708,20
2029,All-League First Team Offensive Tackle,5302,15
2029,All-League First Team Offensive Tackle,8583,11
2029,All-League First Team Punter,3679,28
2029,All-League First Team Kicker,526,31
2029,All-League First Team Defensive End,8718,30
2029,All-League First Team Defensive End,6209,17
2029,All-League First Team Defensive Tackle,9575,18
2029,All-League First Team Defensive Tackle,7954,22
2029,All-League First Team Inside Linebacker,5502,21
2029,All-League First Team Outside Linebacker,8823,1
2029,All-League First Team Outside Linebacker,8890,9
2029,All-League First Team Cornerback,6461,1
2029,All-League First Team Cornerback,4767,12
2029,All-League First Team Safety,8159,5
2029,All-League First Team Safety,5679,10
2029,All-League Second Team Quarterback,905,13
2029,All-League Second Team Running Back,8308,15
2029,All-League Second Team Fullback,7507,23
2029,All-League Second Team Tight End,3439,13
2029,All-League Second Team Wide Receiver,7658,14
2029,All-League Second Team Wide Receiver,8467,29
2029,All-League Second Team Center,4358,21
2029,All-League Second Team Offensive Guard,1197,11
2029,All-League Second Team Offensive Guard,6033,16
2029,All-League Second Team Offensive Tackle,8591,10
2029,All-League Second Team Offensive Tackle,7807,30
2029,All-League Second Team Punter,9456,26
2029,All-League Second Team Kicker,1046,22
2029,All-League Second Team Defensive End,6212,9
2029,All-League Second Team Defensive End,1400,20
2029,All-League Second Team Defensive Tackle,3776,6
2029,All-League Second Team Defensive Tackle,3809,24
2029,All-League Second Team Inside Linebacker,4677,26
2029,All-League Second Team Outside Linebacker,8067,29
2029,All-League Second Team Outside Linebacker,8876,31
2029,All-League Second Team Cornerback,8927,25
2029,All-League Second Team Cornerback,1292,10
2029,All-League Second Team Safety,8171,15
2029,All-League Second Team Safety,6488,1
2029,League's Fastest Man,10082,9
2029,League's Strongest Man,3572,22
2028,Legend of the Game,319,10
2028,Coach of the Year,83,25
2028,Player of the Year,4169,27
2028,Front Office Bowl MVP,3268,11
2028,Offensive Player of the Year,4169,27
2028,Defensive Player of the Year,8890,9
2028,Offensive Rookie of the Year,9094,14
2028,Defensive Rookie of the Year,9525,15
2028,All-League First Team Quarterback,3268,11
2028,All-League First Team Running Back,4169,27
2028,All-League First Team Fullback,5843,20
2028,All-League First Team Tight End,4216,14
2028,All-League First Team Wide Receiver,5959,20
2028,All-League First Team Wide Receiver,1854,6
2028,All-League First Team Center,5176,2
2028,All-League First Team Offensive Guard,4425,15
2028,All-League First Team Offensive Guard,1197,11
2028,All-League First Team Offensive Tackle,5271,9
2028,All-League First Team Offensive Tackle,5248,5
2028,All-League First Team Punter,5322,19
2028,All-League First Team Kicker,1484,1
2028,All-League First Team Defensive End,8718,30
2028,All-League First Team Defensive End,8694,16
2028,All-League First Team Defensive Tackle,7140,26
2028,All-League First Team Defensive Tackle,1216,29
2028,All-League First Team Inside Linebacker,8005,6
2028,All-League First Team Outside Linebacker,8890,9
2028,All-League First Team Outside Linebacker,5557,13
2028,All-League First Team Cornerback,1151,13
2028,All-League First Team Cornerback,1292,10
2028,All-League First Team Safety,5679,10
2028,All-League First Team Safety,6509,25
2028,All-League Second Team Quarterback,1143,2
2028,All-League Second Team Running Back,6597,24
2028,All-League Second Team Fullback,3397,6
2028,All-League Second Team Tight End,6711,11
2028,All-League Second Team Wide Receiver,5099,30
2028,All-League Second Team Wide Receiver,1733,22
2028,All-League Second Team Center,4369,19
2028,All-League Second Team Offensive Guard,7706,2
2028,All-League Second Team Offensive Guard,5227,17
2028,All-League Second Team Offensive Tackle,6096,26
2028,All-League Second Team Offensive Tackle,4444,13
2028,All-League Second Team Punter,1030,0
2028,All-League Second Team Kicker,9464,15
2028,All-League Second Team Defensive End,1632,14
2028,All-League Second Team Defensive End,1400,20
2028,All-League Second Team Defensive Tackle,7136,17
2028,All-League Second Team Defensive Tackle,1136,20
2028,All-League Second Team Inside Linebacker,7983,15
2028,All-League Second Team Outside Linebacker,3911,19
2028,All-League Second Team Outside Linebacker,1649,12
2028,All-League Second Team Cornerback,3976,4
2028,All-League Second Team Cornerback,4814,21
2028,All-League Second Team Safety,7329,12
2028,All-League Second Team Safety,8167,18
2028,League's Fastest Man,1458,0
2028,League's Strongest Man,5427,31
2027,Legend of the Game,212,24
2027,Coach of the Year,83,25
2027,Player of the Year,1010,3
2027,Front Office Bowl MVP,4714,6
2027,Offensive Player of the Year,1010,3
2027,Defensive Player of the Year,8067,29
2027,Offensive Rookie of the Year,8299,3
2027,Defensive Rookie of the Year,8890,9
2027,All-League First Team Quarterback,1010,3
2027,All-League First Team Running Back,8299,3
2027,All-League First Team Fullback,5024,21
2027,All-League First Team Tight End,6722,26
2027,All-League First Team Wide Receiver,5111,18
2027,All-League First Team Wide Receiver,5096,15
2027,All-League First Team Center,429,6
2027,All-League First Team Offensive Guard,3589,18
2027,All-League First Team Offensive Guard,4430,22
2027,All-League First Team Offensive Tackle,6096,26
2027,All-League First Team Offensive Tackle,5303,22
2027,All-League First Team Punter,1329,1
2027,All-League First Team Kicker,207,22
2027,All-League First Team Defensive End,6212,25
2027,All-League First Team Defensive End,1400,20
2027,All-League First Team Defensive Tackle,7140,26
2027,All-League First Team Defensive Tackle,1216,29
2027,All-League First Team Inside Linebacker,6299,2
2027,All-League First Team Outside Linebacker,8067,29
2027,All-League First Team Outside Linebacker,8890,9
2027,All-League First Team Cornerback,1469,24
2027,All-League First Team Cornerback,3976,4
2027,All-League First Team Safety,8171,15
2027,All-League First Team Safety,1612,13
2027,All-League Second Team Quarterback,3269,25
2027,All-League Second Team Running Back,4169,27
2027,All-League Second Team Fullback,7520,27
2027,All-League Second Team Tight End,983,20
2027,All-League Second Team Wide Receiver,6745,5
2027,All-League Second Team Wide Receiver,5944,17
2027,All-League Second Team Center,7678,31
2027,All-League Second Team Offensive Guard,1197,11
2027,All-League Second Team Offensive Guard,6027,25
2027,All-League Second Team Offensive Tackle,1180,25
2027,All-League Second Team Offensive Tackle,2106,27
2027,All-League Second Team Punter,6992,23
2027,All-League Second Team Kicker,5350,6
2027,All-League Second Team Defensive End,6209,1
2027,All-League Second Team Defensive End,4551,0
2027,All-League Second Team Defensive Tackle,5408,16
2027,All-League Second Team Defensive Tackle,1727,12
2027,All-League Second Team Inside Linebacker,8823,1
2027,All-League Second Team Outside Linebacker,3859,21
2027,All-League Second Team Outside Linebacker,1730,4
2027,All-League Second Team Cornerback,8150,3
2027,All-League Second Team Cornerback,4776,26
2027,All-League Second Team Safety,1080,7
2027,All-League Second Team Safety,4052,6
2027,League's Fastest Man,5116,28
2027,League's Strongest Man,3589,18
2026,Legend of the Game,141,13
2026,Coach of the Year,81,2
2026,Player of the Year,1143,2
2026,Front Office Bowl MVP,2054,14
2026,Offensive Player of the Year,4169,27
2026,Defensive Player of the Year,1400,20
2026,Offensive Rookie of the Year,7487,22
2026,Defensive Rookie of the Year,8067,29
2026,All-League First Team Quarterback,1143,2
2026,All-League First Team Running Back,4169,27
2026,All-League First Team Fullback,6690,3
2026,All-League First Team Tight End,4255,31
2026,All-League First Team Wide Receiver,847,27
2026,All-League First Team Wide Receiver,1911,7
2026,All-League First Team Center,5979,14
2026,All-League First Team Offensive Guard,5214,27
2026,All-League First Team Offensive Guard,1389,26
2026,All-League First Team Offensive Tackle,1971,16
2026,All-League First Team Offensive Tackle,5295,6
2026,All-League First Team Punter,6992,23
2026,All-League First Team Kicker,1046,20
2026,All-League First Team Defensive End,1400,20
2026,All-League First Team Defensive End,1319,12
2026,All-League First Team Defensive Tackle,7136,17
2026,All-League First Team Defensive Tackle,7140,26
2026,All-League First Team Inside Linebacker,6319,10
2026,All-League First Team Outside Linebacker,3905,9
2026,All-League First Team Outside Linebacker,4702,14
2026,All-League First Team Cornerback,6461,1
2026,All-League First Team Cornerback,1141,20
2026,All-League First Team Safety,7329,12
2026,All-League First Team Safety,1643,11
2026,All-League Second Team Quarterback,1852,23
2026,All-League Second Team Running Back,6597,24
2026,All-League Second Team Fullback,3397,6
2026,All-League Second Team Tight End,1012,2
2026,All-League Second Team Wide Receiver,5116,28
2026,All-League Second Team Wide Receiver,6745,5
2026,All-League Second Team Center,6827,4
2026,All-League Second Team Offensive Guard,2251,1
2026,All-League Second Team Offensive Guard,445,12
2026,All-League Second Team Offensive Tackle,2106,27
2026,All-League Second Team Offensive Tackle,1180,25
2026,All-League Second Team Punter,1058,12
2026,All-League Second Team Kicker,3713,10
2026,All-League Second Team Defensive End,1640,19
2026,All-League Second Team Defensive End,6233,14
2026,All-League Second Team Defensive Tackle,672,5
2026,All-League Second Team Defensive Tackle,7088,24
2026,All-League Second Team Inside Linebacker,1778,16
2026,All-League Second Team Outside Linebacker,4750,1
2026,All-League Second Team Outside Linebacker,4701,17
2026,All-League Second Team Cornerback,1292,30
2026,All-League Second Team Cornerback,1636,12
2026,All-League Second Team Safety,4052,6
2026,All-League Second Team Safety,4821,29
2026,League's Fastest Man,1949,5
2026,League's Strongest Man,1677,12
2025,Legend of the Game,107,27
2025,Coach of the Year,100,20
2025,Player of the Year,713,20
2025,Front Office Bowl MVP,5349,26
2025,Offensive Player of the Year,4169,27
2025,Defensive Player of the Year,1293,25
2025,Offensive Rookie of the Year,6544,1
2025,Defensive Rookie of the Year,7195,5
2025,All-League First Team Quarterback,713,20
2025,All-League First Team Running Back,4169,27
2025,All-League First Team Fullback,5014,12
2025,All-League First Team Tight End,4216,14
2025,All-League First Team Wide Receiver,1733,22
2025,All-League First Team Wide Receiver,1567,25
2025,All-League First Team Center,5991,1
2025,All-League First Team Offensive Guard,1197,11
2025,All-League First Team Offensive Guard,1389,26
2025,All-League First Team Offensive Tackle,742,2
2025,All-League First Team Offensive Tackle,636,19
2025,All-League First Team Punter,5308,21
2025,All-League First Team Kicker,4518,11
2025,All-League First Team Defensive End,6209,1
2025,All-League First Team Defensive End,603,11
2025,All-League First Team Defensive Tackle,495,1
2025,All-League First Team Defensive Tackle,1216,29
2025,All-League First Team Inside Linebacker,1293,25
2025,All-League First Team Outside Linebacker,1049,18
2025,All-League First Team Outside Linebacker,1649,16
2025,All-League First Team Cornerback,681,16
2025,All-League First Team Cornerback,541,2
2025,All-League First Team Safety,876,5
2025,All-League First Team Safety,1434,9
2025,All-League Second Team Quarterback,1143,2
2025,All-League Second Team Running Back,4988,1
2025,All-League Second Team Fullback,5843,20
2025,All-League Second Team Tight End,983,20
2025,All-League Second Team Wide Receiver,5970,8
2025,All-League Second Team Wide Receiver,5111,18
2025,All-League Second Team Center,5156,26
2025,All-League Second Team Offensive Guard,4393,30
2025,All-League Second Team Offensive Guard,2251,1
2025,All-League Second Team Offensive Tackle,4476,14
2025,All-League Second Team Offensive Tackle,5271,9
2025,All-League Second Team Punter,1496,18
2025,All-League Second Team Kicker,1484,1
2025,All-League Second Team Defensive End,1203,4
2025,All-League Second Team Defensive End,1205,15
2025,All-League Second Team Defensive Tackle,3825,9
2025,All-League Second Team Defensive Tackle,3809,24
2025,All-League Second Team Inside Linebacker,1997,29
2025,All-League Second Team Outside Linebacker,4714,6
2025,All-League Second Team Outside Linebacker,3905,9
2025,All-League Second Team Cornerback,1141,20
2025,All-League Second Team Cornerback,1292,30
2025,All-League Second Team Safety,608,28
2025,All-League Second Team Safety,1089,22
2025,League's Fastest Man,1979,11
2025,League's Strongest Man,5248,5
2024,Legend of the Game,127,11
2024,Coach of the Year,35,7
2024,Player of the Year,205,28
2024,Front Office Bowl MVP,713,20
2024,Offensive Player of the Year,205,28
2024,Defensive Player of the Year,962,7
2024,Offensive Rookie of the Year,5787,31
2024,Defensive Rookie of the Year,6209,1
2024,All-League First Team Quarterback,205,28
2024,All-League First Team Running Back,4159,3
2024,All-League First Team Fullback,5821,29
2024,All-League First Team Tight End,4255,31
2024,All-League First Team Wide Receiver,1911,7
2024,All-League First Team Wide Receiver,744,17
2024,All-League First Team Center,1229,9
2024,All-League First Team Offensive Guard,2769,14
2024,All-League First Team Offensive Guard,3589,18
2024,All-League First Team Offensive Tackle,1637,6
2024,All-League First Team Offensive Tackle,1454,31
2024,All-League First Team Punter,2260,24
2024,All-League First Team Kicker,1046,20
2024,All-League First Team Defensive End,1319,12
2024,All-League First Team Defensive End,1632,14
2024,All-League First Team Defensive Tackle,495,1
2024,All-League First Team Defensive Tackle,679,13
2024,All-League First Team Inside Linebacker,4673,15
2024,All-League First Team Outside Linebacker,962,7
2024,All-League First Team Outside Linebacker,3905,9
2024,All-League First Team Cornerback,1875,14
2024,All-League First Team Cornerback,654,13
2024,All-League First Team Safety,1089,22
2024,All-League First Team Safety,876,5
2024,All-League Second Team Quarterback,3268,11
2024,All-League Second Team Running Back,4178,9
2024,All-League Second Team Fullback,5020,14
2024,All-League Second Team Tight End,4256,28
2024,All-League Second Team Wide Receiver,1188,4
2024,All-League Second Team Wide Receiver,456,19
2024,All-League Second Team Center,4357,24
2024,All-League Second Team Offensive Guard,1067,5
2024,All-League Second Team Offensive Guard,6055,28
2024,All-League Second Team Offensive Tackle,1493,4
2024,All-League Second Team Offensive Tackle,1404,3
2024,All-League Second Team Punter,394,5
2024,All-League Second Team Kicker,694,6
2024,All-League Second Team Defensive End,1640,19
2024,All-League Second Team Defensive End,843,30
2024,All-League Second Team Defensive Tackle,1908,25
2024,All-League Second Team Defensive Tackle,1374,16
2024,All-League Second Team Inside Linebacker,1778,16
2024,All-League Second Team Outside Linebacker,1730,4
2024,All-League Second Team Outside Linebacker,4702,14
2024,All-League Second Team Cornerback,668,14
2024,All-League Second Team Cornerback,4814,21
2024,All-League Second Team Safety,1003,24
2024,All-League Second Team Safety,5684,0
2024,League's Fastest Man,535,14
2024,League's Strongest Man,820,14
2023,Legend of the Game,44,1
2023,Coach of the Year,286,11
2023,Player of the Year,44,1
2023,Front Office Bowl MVP,1143,2
2023,Offensive Player of the Year,44,1
2023,Defensive Player of the Year,1319,12
2023,Offensive Rookie of the Year,4988,1
2023,Defensive Rookie of the Year,5570,3
2023,All-League First Team Quarterback,44,1
2023,All-League First Team Running Back,1021,18
2023,All-League First Team Fullback,3397,6
2023,All-League First Team Tight End,256,13
2023,All-League First Team Wide Receiver,744,17
2023,All-League First Team Wide Receiver,941,26
2023,All-League First Team Center,3541,2
2023,All-League First Team Offensive Guard,1197,11
2023,All-League First Team Offensive Guard,215,18
2023,All-League First Team Offensive Tackle,788,18
2023,All-League First Team Offensive Tackle,1637,6
2023,All-League First Team Punter,417,29
2023,All-League First Team Kicker,1046,20
2023,All-League First Team Defensive End,1319,12
2023,All-League First Team Defensive End,1632,14
2023,All-League First Team Defensive Tackle,495,1
2023,All-League First Team Defensive Tackle,3807,26
2023,All-League First Team Inside Linebacker,3846,7
2023,All-League First Team Outside Linebacker,3893,15
2023,All-League First Team Outside Linebacker,962,7
2023,All-League First Team Cornerback,5570,3
2023,All-League First Team Cornerback,3976,4
2023,All-League First Team Safety,608,28
2023,All-League First Team Safety,4059,23
2023,All-League Second Team Quarterback,1143,2
2023,All-League Second Team Running Back,657,28
2023,All-League Second Team Fullback,3395,27
2023,All-League Second Team Tight End,1135,1
2023,All-League Second Team Wide Receiver,1911,7
2023,All-League Second Team Wide Receiver,1511,29
2023,All-League Second Team Center,1506,17
2023,All-League Second Team Offensive Guard,1573,8
2023,All-League Second Team Offensive Guard,556,22
2023,All-League Second Team Offensive Tackle,381,7
2023,All-League Second Team Offensive Tackle,2829,12
2023,All-League Second Team Punter,58,24
2023,All-League Second Team Kicker,505,12
2023,All-League Second Team Defensive End,1400,20
